#?PETBL/1.0
## name	JIS X 0208-1983 (used with ISO/IEC 646:1991 IRV) (GL encoding)
#?o table-name="jisx0208_1983_irv"
#?o charset-chars="94"
#?o charset-dimension="2"
#?o charset-final-byte="B"
0x234D	U+FF2D		# FULLWIDTH LATIN CAPITAL LETTER M
0x234E	U+FF2E		# FULLWIDTH LATIN CAPITAL LETTER N
0x234F	U+FF2F		# FULLWIDTH LATIN CAPITAL LETTER O
0x2350	U+FF30		# FULLWIDTH LATIN CAPITAL LETTER P
0x2351	U+FF31		# FULLWIDTH LATIN CAPITAL LETTER Q
0x2352	U+FF32		# FULLWIDTH LATIN CAPITAL LETTER R
0x2353	U+FF33		# FULLWIDTH LATIN CAPITAL LETTER S
0x2354	U+FF34		# FULLWIDTH LATIN CAPITAL LETTER T
0x2355	U+FF35		# FULLWIDTH LATIN CAPITAL LETTER U
0x2356	U+FF36		# FULLWIDTH LATIN CAPITAL LETTER V
0x2357	U+FF37		# FULLWIDTH LATIN CAPITAL LETTER W
0x2358	U+FF38		# FULLWIDTH LATIN CAPITAL LETTER X
0x2359	U+FF39		# FULLWIDTH LATIN CAPITAL LETTER Y
0x235A	U+FF3A		# FULLWIDTH LATIN CAPITAL LETTER Z
0x2361	U+FF41		# FULLWIDTH LATIN SMALL LETTER A
0x2362	U+FF42		# FULLWIDTH LATIN SMALL LETTER B
0x2363	U+FF43		# FULLWIDTH LATIN SMALL LETTER C
0x2364	U+FF44		# FULLWIDTH LATIN SMALL LETTER D
0x2365	U+FF45		# FULLWIDTH LATIN SMALL LETTER E
0x2366	U+FF46		# FULLWIDTH LATIN SMALL LETTER F
0x2367	U+FF47		# FULLWIDTH LATIN SMALL LETTER G
0x2368	U+FF48		# FULLWIDTH LATIN SMALL LETTER H
0x2369	U+FF49		# FULLWIDTH LATIN SMALL LETTER I
0x236A	U+FF4A		# FULLWIDTH LATIN SMALL LETTER J
0x236B	U+FF4B		# FULLWIDTH LATIN SMALL LETTER K
0x236C	U+FF4C		# FULLWIDTH LATIN SMALL LETTER L
0x236D	U+FF4D		# FULLWIDTH LATIN SMALL LETTER M
0x236E	U+FF4E		# FULLWIDTH LATIN SMALL LETTER N
0x236F	U+FF4F		# FULLWIDTH LATIN SMALL LETTER O
0x2370	U+FF50		# FULLWIDTH LATIN SMALL LETTER P
0x2371	U+FF51		# FULLWIDTH LATIN SMALL LETTER Q
0x2372	U+FF52		# FULLWIDTH LATIN SMALL LETTER R
0x2373	U+FF53		# FULLWIDTH LATIN SMALL LETTER S
0x2374	U+FF54		# FULLWIDTH LATIN SMALL LETTER T
0x2375	U+FF55		# FULLWIDTH LATIN SMALL LETTER U
0x2376	U+FF56		# FULLWIDTH LATIN SMALL LETTER V
0x2377	U+FF57		# FULLWIDTH LATIN SMALL LETTER W
0x2378	U+FF58		# FULLWIDTH LATIN SMALL LETTER X
0x2379	U+FF59		# FULLWIDTH LATIN SMALL LETTER Y
0x237A	U+FF5A		# FULLWIDTH LATIN SMALL LETTER Z
0x2421	U+3041		# HIRAGANA LETTER SMALL A
0x2422	U+3042		# HIRAGANA LETTER A
0x2423	U+3043		# HIRAGANA LETTER SMALL I
0x2424	U+3044		# HIRAGANA LETTER I
0x2425	U+3045		# HIRAGANA LETTER SMALL U
0x2426	U+3046		# HIRAGANA LETTER U
0x2427	U+3047		# HIRAGANA LETTER SMALL E
0x2428	U+3048		# HIRAGANA LETTER E
0x2429	U+3049		# HIRAGANA LETTER SMALL O
0x242A	U+304A		# HIRAGANA LETTER O
0x242B	U+304B		# HIRAGANA LETTER KA
0x242C	U+304C		# HIRAGANA LETTER GA
0x242D	U+304D		# HIRAGANA LETTER KI
0x242E	U+304E		# HIRAGANA LETTER GI
0x242F	U+304F		# HIRAGANA LETTER KU
0x2430	U+3050		# HIRAGANA LETTER GU
0x2431	U+3051		# HIRAGANA LETTER KE
0x2432	U+3052		# HIRAGANA LETTER GE
0x2433	U+3053		# HIRAGANA LETTER KO
0x2434	U+3054		# HIRAGANA LETTER GO
0x2435	U+3055		# HIRAGANA LETTER SA
0x2436	U+3056		# HIRAGANA LETTER ZA
0x2437	U+3057		# HIRAGANA LETTER SI
0x2438	U+3058		# HIRAGANA LETTER ZI
0x2439	U+3059		# HIRAGANA LETTER SU
0x243A	U+305A		# HIRAGANA LETTER ZU
0x243B	U+305B		# HIRAGANA LETTER SE
0x243C	U+305C		# HIRAGANA LETTER ZE
0x243D	U+305D		# HIRAGANA LETTER SO
0x243E	U+305E		# HIRAGANA LETTER ZO
0x243F	U+305F		# HIRAGANA LETTER TA
0x2440	U+3060		# HIRAGANA LETTER DA
0x2441	U+3061		# HIRAGANA LETTER TI
0x2442	U+3062		# HIRAGANA LETTER DI
0x2443	U+3063		# HIRAGANA LETTER SMALL TU
0x2444	U+3064		# HIRAGANA LETTER TU
0x2445	U+3065		# HIRAGANA LETTER DU
0x2446	U+3066		# HIRAGANA LETTER TE
0x2447	U+3067		# HIRAGANA LETTER DE
0x2448	U+3068		# HIRAGANA LETTER TO
0x2449	U+3069		# HIRAGANA LETTER DO
0x244A	U+306A		# HIRAGANA LETTER NA
0x244B	U+306B		# HIRAGANA LETTER NI
0x244C	U+306C		# HIRAGANA LETTER NU
0x244D	U+306D		# HIRAGANA LETTER NE
0x244E	U+306E		# HIRAGANA LETTER NO
0x244F	U+306F		# HIRAGANA LETTER HA
0x2450	U+3070		# HIRAGANA LETTER BA
0x2451	U+3071		# HIRAGANA LETTER PA
0x2452	U+3072		# HIRAGANA LETTER HI
0x2453	U+3073		# HIRAGANA LETTER BI
0x2454	U+3074		# HIRAGANA LETTER PI
0x2455	U+3075		# HIRAGANA LETTER HU
0x2456	U+3076		# HIRAGANA LETTER BU
0x2457	U+3077		# HIRAGANA LETTER PU
0x2458	U+3078		# HIRAGANA LETTER HE
0x2459	U+3079		# HIRAGANA LETTER BE
0x245A	U+307A		# HIRAGANA LETTER PE
0x245B	U+307B		# HIRAGANA LETTER HO
0x245C	U+307C		# HIRAGANA LETTER BO
0x245D	U+307D		# HIRAGANA LETTER PO
0x245E	U+307E		# HIRAGANA LETTER MA
0x245F	U+307F		# HIRAGANA LETTER MI
0x2460	U+3080		# HIRAGANA LETTER MU
0x2461	U+3081		# HIRAGANA LETTER ME
0x2462	U+3082		# HIRAGANA LETTER MO
0x2463	U+3083		# HIRAGANA LETTER SMALL YA
0x2464	U+3084		# HIRAGANA LETTER YA
0x2465	U+3085		# HIRAGANA LETTER SMALL YU
0x2466	U+3086		# HIRAGANA LETTER YU
0x2467	U+3087		# HIRAGANA LETTER SMALL YO
0x2468	U+3088		# HIRAGANA LETTER YO
0x2469	U+3089		# HIRAGANA LETTER RA
0x246A	U+308A		# HIRAGANA LETTER RI
0x246B	U+308B		# HIRAGANA LETTER RU
0x246C	U+308C		# HIRAGANA LETTER RE
0x246D	U+308D		# HIRAGANA LETTER RO
0x246E	U+308E		# HIRAGANA LETTER SMALL WA
0x246F	U+308F		# HIRAGANA LETTER WA
0x2470	U+3090		# HIRAGANA LETTER WI
0x2471	U+3091		# HIRAGANA LETTER WE
0x2472	U+3092		# HIRAGANA LETTER WO
0x2473	U+3093		# HIRAGANA LETTER N
0x2521	U+30A1		# KATAKANA LETTER SMALL A
0x2522	U+30A2		# KATAKANA LETTER A
0x2523	U+30A3		# KATAKANA LETTER SMALL I
0x2524	U+30A4		# KATAKANA LETTER I
0x2525	U+30A5		# KATAKANA LETTER SMALL U
0x2526	U+30A6		# KATAKANA LETTER U
0x2527	U+30A7		# KATAKANA LETTER SMALL E
0x2528	U+30A8		# KATAKANA LETTER E
0x2529	U+30A9		# KATAKANA LETTER SMALL O
0x252A	U+30AA		# KATAKANA LETTER O
0x252B	U+30AB		# KATAKANA LETTER KA
0x252C	U+30AC		# KATAKANA LETTER GA
0x252D	U+30AD		# KATAKANA LETTER KI
0x252E	U+30AE		# KATAKANA LETTER GI
0x252F	U+30AF		# KATAKANA LETTER KU
0x2530	U+30B0		# KATAKANA LETTER GU
0x2531	U+30B1		# KATAKANA LETTER KE
0x2532	U+30B2		# KATAKANA LETTER GE
