#?PETBL/1.0 SOURCE
#?o name="cp855-ms-2001"
#?o ucm:code_set_alias="cp855-ms	ms855	windows855	windows-855"
## Source: WindowsNT/5.01.2600 (Service Pack 1) (Windows XP) (586) MSIE/6.0.2800.1106
#?o license="Public Domain"
0x00	U+0000		# <control>
0x01	U+0001		# <control>
0x01	U+263A	<-	# WHITE SMILING FACE
0x02	U+0002		# <control>
0x02	U+263B	<-	# BLACK SMILING FACE
0x03	U+0003		# <control>
0x04	U+0004		# <control>
0x05	U+0005		# <control>
0x06	U+0006		# <control>
0x07	U+0007		# <control>
0x07	U+00B7	<-	# MIDDLE DOT
0x07	U+2022	<-	# BULLET
0x07	U+2219	<-	# BULLET OPERATOR
0x08	U+0008		# <control>
0x08	U+25D8	<-	# INVERSE BULLET
0x09	U+0009		# <control>
0x09	U+25CB	<-	# WHITE CIRCLE
0x0A	U+000A		# <control>
0x0A	U+25D9	<-	# INVERSE WHITE CIRCLE
0x0B	U+000B		# <control>
0x0B	U+2642	<-	# MALE SIGN
0x0C	U+000C		# <control>
0x0C	U+2640	<-	# FEMALE SIGN
0x0D	U+000D		# <control>
0x0E	U+000E		# <control>
0x0F	U+000F		# <control>
0x0F	U+263C	<-	# WHITE SUN WITH RAYS
0x10	U+0010		# <control>
0x10	U+25BA	<-	# BLACK RIGHT-POINTING POINTER
0x11	U+0011		# <control>
0x11	U+25C4	<-	# BLACK LEFT-POINTING POINTER
0x12	U+0012		# <control>
0x12	U+2195	<-	# UP DOWN ARROW
0x13	U+0013		# <control>
0x13	U+203C	<-	# DOUBLE EXCLAMATION MARK
0x14	U+0014		# <control>
0x14	U+00B6	<-	# PILCROW SIGN
0x15	U+0015		# <control>
0x16	U+0016		# <control>
0x16	U+25AC	<-	# BLACK RECTANGLE
0x17	U+0017		# <control>
0x17	U+21A8	<-	# UP DOWN ARROW WITH BASE
0x18	U+0018		# <control>
0x18	U+2191	<-	# UPWARDS ARROW
0x19	U+0019		# <control>
0x19	U+2193	<-	# DOWNWARDS ARROW
0x1A	U+001A		# <control>
0x1A	U+2192	<-	# RIGHTWARDS ARROW
0x1B	U+001B		# <control>
0x1B	U+2190	<-	# LEFTWARDS ARROW
0x1C	U+001C		# <control>
0x1C	U+221F	<-	# RIGHT ANGLE
0x1D	U+001D		# <control>
0x1D	U+2194	<-	# LEFT RIGHT ARROW
0x1E	U+001E		# <control>
0x1E	U+25B2	<-	# BLACK UP-POINTING TRIANGLE
0x1F	U+001F		# <control>
0x1F	U+25BC	<-	# BLACK DOWN-POINTING TRIANGLE
0x20	U+0020		# SPACE
0x21	U+0021		# EXCLAMATION MARK
0x22	U+0022		# QUOTATION MARK
0x22	U+201C	<-	# LEFT DOUBLE QUOTATION MARK
0x22	U+201D	<-	# RIGHT DOUBLE QUOTATION MARK
0x22	U+201E	<-	# DOUBLE LOW-9 QUOTATION MARK
0x23	U+0023		# NUMBER SIGN
0x24	U+0024		# DOLLAR SIGN
0x25	U+0025		# PERCENT SIGN
