#?PETBL/1.0 SOURCE
#?o name="cp875-ms-2001"
#?o ucm:code_set_alias="cp875-ms	ms875	windows875	windows-875"
## Source: WindowsNT/5.01.2600 (Service Pack 1) (Windows XP) (586) MSIE/6.0.2800.1106
#?o license="Public Domain"
0x00	U+0000		# <control>
0x01	U+0001		# <control>
0x02	U+0002		# <control>
0x03	U+0003		# <control>
0x04	U+009C		# <control>
0x05	U+0009		# <control>
0x06	U+0086		# <control>
0x07	U+007F		# <control>
0x08	U+0097		# <control>
0x09	U+008D		# <control>
0x0A	U+008E		# <control>
0x0B	U+000B		# <control>
0x0C	U+000C		# <control>
0x0D	U+000D		# <control>
0x0E	U+000E		# <control>
0x0F	U+000F		# <control>
0x10	U+0010		# <control>
0x11	U+0011		# <control>
0x12	U+0012		# <control>
0x13	U+0013		# <control>
0x14	U+009D		# <control>
0x15	U+0085		# <control>
0x16	U+0008		# <control>
0x17	U+0087		# <control>
0x18	U+0018		# <control>
0x19	U+0019		# <control>
0x1A	U+0092		# <control>
0x1B	U+008F		# <control>
0x1C	U+001C		# <control>
0x1D	U+001D		# <control>
0x1E	U+001E		# <control>
0x1F	U+001F		# <control>
0x20	U+0080		# <control>
0x21	U+0081		# <control>
0x22	U+0082		# <control>
0x23	U+0083		# <control>
0x24	U+0084		# <control>
0x25	U+000A		# <control>
0x26	U+0017		# <control>
0x27	U+001B		# <control>
0x28	U+0088		# <control>
0x29	U+0089		# <control>
0x2A	U+008A		# <control>
0x2B	U+008B		# <control>
0x2C	U+008C		# <control>
0x2D	U+0005		# <control>
0x2E	U+0006		# <control>
0x2F	U+0007		# <control>
0x30	U+0090		# <control>
0x31	U+0091		# <control>
0x32	U+0016		# <control>
0x33	U+0093		# <control>
0x34	U+0094		# <control>
0x35	U+0095		# <control>
0x36	U+0096		# <control>
0x37	U+0004		# <control>
0x38	U+0098		# <control>
0x39	U+0099		# <control>
0x3A	U+009A		# <control>
0x3B	U+009B		# <control>
0x3C	U+0014		# <control>
0x3D	U+0015		# <control>
0x3E	U+009E		# <control>
0x3F	U+001A		# <control>
0x40	U+0020		# SPACE
0x41	U+0391		# GREEK CAPITAL LETTER ALPHA
0x42	U+0392		# GREEK CAPITAL LETTER BETA
0x43	U+0393		# GREEK CAPITAL LETTER GAMMA
0x44	U+0394		# GREEK CAPITAL LETTER DELTA
0x45	U+0395		# GREEK CAPITAL LETTER EPSILON
0x46	U+0396		# GREEK CAPITAL LETTER ZETA
0x47	U+0397		# GREEK CAPITAL LETTER ETA
0x48	U+0398		# GREEK CAPITAL LETTER THETA
0x49	U+0399		# GREEK CAPITAL LETTER IOTA
0x4A	U+005B		# LEFT SQUARE BRACKET
0x4A	U+FF3B	<-	# FULLWIDTH LEFT SQUARE BRACKET
0x4B	U+002E		# FULL STOP
0x4B	U+FF0E	<-	# FULLWIDTH FULL STOP
0x4C	U+003C		# LESS-THAN SIGN
0x4C	U+FF1C	<-	# FULLWIDTH LESS-THAN SIGN
0x4D	U+0028		# LEFT PARENTHESIS
